spotify_id,title,artist,album,release_date,popularity,0
4UEGR94HwHF8wTfYqscPIh,Mahi Ve,Atif Aslam,Doorie,2006-12-22,36.0,
04VUjNx30IrigVZU3CQmrQ,MERCY,Badshah,ONE (Original Never Ends),2018-08-17,58.0,
39ujbBjTwwqUFySaCYDMMT,Proper Patola,"Badshah, Diljit Dosanjh, Aastha Gill",Namaste England (Original Motion Picture Soundtrack),2018-10-03,71.0,
5VKvDHouRJ4a8VNXrzTWnc,Dj Waley Babu,"Badshah, Aastha Gill",ONE (Original Never Ends),2018-08-17,63.0,
2SN54RFfaafTk7TE1n1Na4,Tareefan,"QARAN, Badshah",Veere Di Wedding (Original Motion Picture Soundtrack),2018-05-31,65.0,
0yHAsloOQ5k3YxPw0K9dMf,Driving Slow,Badshah,Driving Slow,2016-08-22,32.0,
0MbOLfDcGk8ROHJYXJHu5c,Players,"Badshah, Karan Aujla, Devika Badyal",3:00 AM Sessions,2023-02-07,67.0,
5mVduF4CcX7sS9Eo4XfchH,Happy Happy,"Badshah, Aastha Gill",Blackmail,2018-03-23,20.0,
0WzpfaJH1gNTtlSRHBblw2,Bandook,"Badshah, Raxstar",Spoken Word,2014-06-22,28.0,
51ZN0MyxxJ0VmCN2Hlscfw,Abhi Toh Party Shuru Hui Hai,"Badshah, Aastha",Badshah Party Hits,2020-05-25,58.0,
4DUjAWCqIuTXPvk0YODeq6,Perfect,"Gurinder Rai, Badshah",Perfect - Single,2018-10-10,7.0,
5IQIedZjPq8IA1dGAbxQYe,Grandfather,Badshah,Grandfather,2019-06-18,33.0,
39vrbjCMTRXEdiIr2IsBgd,She Move It Like,Badshah,ONE (Original Never Ends),2018-08-17,62.0,
2NTVtNcpC0i1R7LVGaCZCF,Jugnu,"Badshah, Nikhita Gandhi",Jugnu,2021-10-26,67.0,
2LQRU9QKAaommF4fL29AbW,Hot Launde,"Badshah, Fotty Seven, Bali",The Power Of Dreams Of A Kid,2020-08-07,41.0,
4gyPGtExOjj1rsByKW33LR,Paagal,Badshah,Paagal,2019-07-10,57.0,
5IJM4mXrz77UItcvVfq7CM,AISE NA DEKH MUJHE,Badshah,ONE (Original Never Ends),2018-08-17,19.0,
7BQ4E80tHGmB1RrSgL2yO6,The Power of Dreams,"Badshah, Lisa Mishra",The Power Of Dreams Of A Kid,2020-08-07,33.0,
6sifaHpub87pCpBzsGGCl1,KARE JA,Rasool Badshah,"Khon Kare Starge, Vol. 395",2022-08-21,0.0,
51ZN0MyxxJ0VmCN2Hlscfw,Shuru,"Badshah, Aastha",Badshah Party Hits,2020-05-25,58.0,
0ZoDz03QVEkBGz05RrJRLM,Therapy,Badshah,ONE (Original Never Ends),2018-08-17,25.0,
3ZO1Cg317gtNQ84b9YQ60E,BKL,Badshah,The Power Of Dreams Of A Kid,2020-08-07,32.0,
